Booking End,Booking Start,Day Of Week,Duration (hours),Room Name,user
8/11/2015 11:30,8/11/2015 10:00,Sunday,1:30,JS2-02,lCDSsgvE
8/11/2015 12:00,8/11/2015 10:00,Sunday,2:00,JS3-09,b5CUb6gJ
8/11/2015 12:00,8/11/2015 10:00,Sunday,2:00,JS4-02,38hO/Wcy
8/11/2015 12:00,8/11/2015 10:00,Sunday,2:00,JS4-03C,nPHWZiGS
8/11/2015 12:00,8/11/2015 10:00,Sunday,2:00,JS4-08,g+tc2NPD
8/11/2015 12:00,8/11/2015 10:00,Sunday,2:00,JS5-03A,vl06WO4G
8/11/2015 11:00,8/11/2015 10:00,Sunday,1:00,JS5-03B,8p1VsUkh
8/11/2015 11:30,8/11/2015 10:00,Sunday,1:30,JS5-06,8wJQLBxB
8/11/2015 12:00,8/11/2015 10:00,Sunday,2:00,JS6-07,0tizT8Dh
8/11/2015 12:00,8/11/2015 10:00,Sunday,2:00,JS6-09,QX8+l77y
8/11/2015 12:00,8/11/2015 10:00,Sunday,2:00,JS6-12B,4WIVFWDa
8/11/2015 12:00,8/11/2015 10:00,Sunday,2:00,JS6-12D,bxUcm+/s
8/11/2015 12:30,8/11/2015 10:30,Sunday,2:00,JS4-03B,cjxP2afa
8/11/2015 12:30,8/11/2015 10:30,Sunday,2:00,JS4-07,DRZy61UZ
8/11/2015 12:30,8/11/2015 10:30,Sunday,2:00,JS5-07,fU4XLq9j
8/11/2015 12:30,8/11/2015 10:30,Sunday,2:00,JS6-12E,fOkDGI4+
8/11/2015 12:30,8/11/2015 10:30,Sunday,2:00,JS6-12F,WkjkjJgb
8/11/2015 13:00,8/11/2015 11:00,Sunday,2:00,JS3-08,c3dQS1VO
8/11/2015 13:00,8/11/2015 11:00,Sunday,2:00,JS5-03B,Q9Qf8ryf
8/11/2015 13:00,8/11/2015 11:00,Sunday,2:00,JS5-08,pukq39Sc
8/11/2015 13:00,8/11/2015 11:00,Sunday,2:00,JS6-02,tEdSpT/4
8/11/2015 13:00,8/11/2015 11:00,Sunday,2:00,JS6-04A,kk6ivoGo
